'768715101':'HDR_MIC': 'ATFX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '266897078074289146', 'ENR_INSTRUMENTGROUPCODE': '8i', 'ENR_OFFICIALSEGMENT': 'jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy', 'ENR_TRADINGCURRENCY': 'eRU', 'ENR_CURRENCYCOEFFICIENT': '3936869548', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '4082490661', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'317605844':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '11647427006493921470', 'ENR_INSTRUMENTGROUPCODE': 'cj', 'ENR_OFFICIALSEGMENT': 'mRUubYoMqiZ2bjwOyFMwsoXk34kYh2a96IXyUq5PW0PwtPKdNi5arXa2KTc3k8rtfh5SWa', 'ENR_TRADINGCURRENCY': 'pr9', 'ENR_CURRENCYCOEFFICIENT': '1583101631', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '651886310', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'393921509':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '13176141444238371383', 'ENR_INSTRUMENTGROUPCODE': 'C5', 'ENR_OFFICIALSEGMENT': 'goy3TWJhek7t85oeTyQLP83JMCiqpNoZxHFeoYqbFGzTCMyIIfTRRf7nfepFrJnYAg6eBG', 'ENR_TRADINGCURRENCY': '2pH', 'ENR_CURRENCYCOEFFICIENT': '2420459378', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3831053502', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'587146478':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2869366915666923874', 'ENR_INSTRUMENTGROUPCODE': 'vW', 'ENR_OFFICIALSEGMENT': 'QqVhD55VX4sqnIEoj11y32Kk1ZT1BbalNy9n80Ac8W9q3EwbJ3KvQjEUPCa88EnY944q5c', 'ENR_TRADINGCURRENCY': 'ChR', 'ENR_CURRENCYCOEFFICIENT': '2722708383', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3283284035', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'897061568':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8421005763191075415', 'ENR_INSTRUMENTGROUPCODE': '2G', 'ENR_OFFICIALSEGMENT': 'H9aNIJPCiwHi3bQ1DBzy6roNIoc7BLPOT9jD9xife4kCjH32uZHYuhfjACYB5Bw7pX2pie', 'ENR_TRADINGCURRENCY': 'hhg', 'ENR_CURRENCYCOEFFICIENT': '3138991619', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1248976379', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'766266667':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4240817722133414201', 'ENR_INSTRUMENTGROUPCODE': 'Nc', 'ENR_OFFICIALSEGMENT': '91pf1G46L40DH4FhwbvXCFMAYShrmIw1KOUdBoXoJHtBX0dl773nO5JvjMbbIFVd6JeBFc', 'ENR_TRADINGCURRENCY': 'b49', 'ENR_CURRENCYCOEFFICIENT': '2686139131', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2331932517', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'79594686':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2445560449030391989', 'ENR_INSTRUMENTGROUPCODE': 'Jl', 'ENR_OFFICIALSEGMENT': 'Nf933GnXcYWG39wqSN4KW2Lbg3Xw1kzS2Qhr2u0oWf2CsMaF2rxtgxcQBUwwJWxy0RPBsZ', 'ENR_TRADINGCURRENCY': 'O2t', 'ENR_CURRENCYCOEFFICIENT': '686367361', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3471620477', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'727509241':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4302214173325118317', 'ENR_INSTRUMENTGROUPCODE': 'zE', 'ENR_OFFICIALSEGMENT': 'ovH7yCj5z6Nu0HcDZwmWxxL8wAhlreNWutsmHlrjUt90r2zkG1NbJJvfUsNg1MD5PIvOkr', 'ENR_TRADINGCURRENCY': 'nN7', 'ENR_CURRENCYCOEFFICIENT': '4174597307', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3774155814', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'785304035':'HDR_MIC': 'EXGM', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '17043361403996190271', 'ENR_INSTRUMENTGROUPCODE': '4U', 'ENR_OFFICIALSEGMENT': 'r66rDYVT9Cmm7bkyTMvRwXab2u4rVV4wuJp606V2W4xOBpbR3skiWkVnGrrXT3L01r5qDM', 'ENR_TRADINGCURRENCY': 'g6S', 'ENR_CURRENCYCOEFFICIENT': '2209958177', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '89384945', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'53738436':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '17467895347737353331', 'ENR_INSTRUMENTGROUPCODE': 'FW', 'ENR_OFFICIALSEGMENT': 'nj0aDOedRgcRQzrXMSZyHe7zrB7U9D95JcLTj7t59GqhecuN1Ilj4b5oHOcgGq0DoSUptv', 'ENR_TRADINGCURRENCY': '9AT', 'ENR_CURRENCYCOEFFICIENT': '693201641', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3222109028', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'519103305':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '2214246784611142582', 'ENR_INSTRUMENTGROUPCODE': 'Em', 'ENR_OFFICIALSEGMENT': 'nIGEFuu4qLK8h4fQvvRCcLh5QXg9xtoASLYGhZI3sCllJupZO6RCuXzQHSbbqpWhWONK4C', 'ENR_TRADINGCURRENCY': 'aDz', 'ENR_CURRENCYCOEFFICIENT': '3596835518', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '932878956', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'927008545':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1975843389352265188', 'ENR_INSTRUMENTGROUPCODE': '41', 'ENR_OFFICIALSEGMENT': 'temCwWKv3emBG9RQN9OsPNMxEHNFe7KX23N1RfbG0VsAxWikeY2uuk4I0vmDn4DRZUaY8K', 'ENR_TRADINGCURRENCY': 'x6f', 'ENR_CURRENCYCOEFFICIENT': '2817915161', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3089514342', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'984029995':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '18358697419713461226', 'ENR_INSTRUMENTGROUPCODE': 'Gt', 'ENR_OFFICIALSEGMENT': 'dbOLDX8tS76zPqvB5SWN1vYVJgX4ZjBbkwL4tzGEh8bB5Bx70HWWhD9P1ZD5RVayfbrt4I', 'ENR_TRADINGCURRENCY': 'mut', 'ENR_CURRENCYCOEFFICIENT': '1028372657', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1708593561', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'397856163':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '11037862016003139632', 'ENR_INSTRUMENTGROUPCODE': 'TY', 'ENR_OFFICIALSEGMENT': 'cEjzOzgvcJkbz3Ou4JAB9E8qUnBMMIEuwhCBJ5pCLAs6yAHhNUs02QcipAeVtKUl9DkfEr', 'ENR_TRADINGCURRENCY': '5Ty', 'ENR_CURRENCYCOEFFICIENT': '2794813678', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2305051789', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'132552347':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '9222983221400517313', 'ENR_INSTRUMENTGROUPCODE': 'oi', 'ENR_OFFICIALSEGMENT': 'nsSiNFv22775HnasYddBsXGpDWMQiL2lLW0ENLgtoMKC1O3HNSjc1tJWpuoMtjgByDoUQQ', 'ENR_TRADINGCURRENCY': '8ZD', 'ENR_CURRENCYCOEFFICIENT': '2235014983', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2553562222', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'221113253':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10929083452623909704', 'ENR_INSTRUMENTGROUPCODE': 'Qp', 'ENR_OFFICIALSEGMENT': 'ZyDvZNtZftw347NF64GL6g1YOCjtNgTG4gn0PaO94v2iAMQffVIk7BpoCZpdvrCQIBcvGf', 'ENR_TRADINGCURRENCY': 'KGy', 'ENR_CURRENCYCOEFFICIENT': '1159840746', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '561918784', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'213087042':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8445089558153260292', 'ENR_INSTRUMENTGROUPCODE': 'oC', 'ENR_OFFICIALSEGMENT': 'tNR9GZMegQGUSEFrWY0ZHM73TsfCZc7bEwyByBpHhhUgLWxhcYigs05uXKbIhT79JcPC5I', 'ENR_TRADINGCURRENCY': 'pDb', 'ENR_CURRENCYCOEFFICIENT': '48157226', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '629981124', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'844959358':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '13445691230971385553', 'ENR_INSTRUMENTGROUPCODE': 'Oj', 'ENR_OFFICIALSEGMENT': 'yQK5LAsLcQb75NmmBy9nOhKt6h2wdEunzbMmX8iM3NZpdGNVTdIwgofa5sgDIPbvHMYPxT', 'ENR_TRADINGCURRENCY': 'iH9', 'ENR_CURRENCYCOEFFICIENT': '1301425996', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3314353334', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'780255171':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '15683498924355126261', 'ENR_INSTRUMENTGROUPCODE': 'B3', 'ENR_OFFICIALSEGMENT': 'XL7LD750JEMIYKXnfj7zDkIsCRMjbRP5F7M9G5dx4rdg4yFIQTTWlFg3KQofDkxNvLDpgY', 'ENR_TRADINGCURRENCY': 'oOU', 'ENR_CURRENCYCOEFFICIENT': '3451839064', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2587173959', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'955011091':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8943933701115578874', 'ENR_INSTRUMENTGROUPCODE': '9G', 'ENR_OFFICIALSEGMENT': 'VQlHFNtQYKhFqxHOD5ncjSC1q8uP7mF3yNEdGv1lFbzOiydlcyhTylb07Rq625ymS1twaz', 'ENR_TRADINGCURRENCY': 'Xr7', 'ENR_CURRENCYCOEFFICIENT': '3629286593', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '235437051', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'743125215':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '17545395245734829072', 'ENR_INSTRUMENTGROUPCODE': 'k9', 'ENR_OFFICIALSEGMENT': 'xEX29W8dnINHcdHdJwpTnHbzssgObUeCJS2jdgJi4MBIhtlqtqU6JMirJ2SfeozbaBVpLa', 'ENR_TRADINGCURRENCY': '7Hm', 'ENR_CURRENCYCOEFFICIENT': '1927176781', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '568547390', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'869985226':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '5295398863502197985', 'ENR_INSTRUMENTGROUPCODE': 'ea', 'ENR_OFFICIALSEGMENT': 'f3R6BUopgMEyJetj4PlB2oLfR0DEY5lDmXcdq5h6s2QqEeqOjtbEQO7rAPF0wlluxjRhKW', 'ENR_TRADINGCURRENCY': 'zoY', 'ENR_CURRENCYCOEFFICIENT': '2022587352', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '3677129230', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'418045634':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8325768794453793185', 'ENR_INSTRUMENTGROUPCODE': 'zl', 'ENR_OFFICIALSEGMENT': 'nukLWvsvRBQWKANCEt54Wbzl4z6PqoP7I8Ra3iChBcowaknKXHoR6CkdMQCW3ib5GWtFUR', 'ENR_TRADINGCURRENCY': 'mdb', 'ENR_CURRENCYCOEFFICIENT': '2080053579', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3025084632', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'433085588':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '14046758234998495118', 'ENR_INSTRUMENTGROUPCODE': 'j3', 'ENR_OFFICIALSEGMENT': 'v5a3qPvMXs4LtM0cS8it6NfoNP5DK2P4M0tGDDhwAQTACPqrCeLHpDspwJJS5RMMurDP99', 'ENR_TRADINGCURRENCY': 's65', 'ENR_CURRENCYCOEFFICIENT': '2803396950', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1479390798', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'485081213':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '13427938165684466644', 'ENR_INSTRUMENTGROUPCODE': 'nf', 'ENR_OFFICIALSEGMENT': 'jUZ39D8GID7zdBueF0jDztsLCdCnXsiDJhtZTV4dNbQm13xw83bjwOTsSxJM2jxTC0cCxi', 'ENR_TRADINGCURRENCY': '6UR', 'ENR_CURRENCYCOEFFICIENT': '3504059426', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1595551522', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'410867151':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6437697594795834548', 'ENR_INSTRUMENTGROUPCODE': '0I', 'ENR_OFFICIALSEGMENT': 'KdBrPSp41kBpjqzU2SdJFxkzMvr8gyGnPAPg9hAegcfvn7tPDhbQUzzocm04MuJsoWCGKq', 'ENR_TRADINGCURRENCY': 'a06', 'ENR_CURRENCYCOEFFICIENT': '2293955083', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1749897357', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'840406118':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10876687420597401492', 'ENR_INSTRUMENTGROUPCODE': 'IN', 'ENR_OFFICIALSEGMENT': '0YrTk8qmxXILLSzYXa7i2cHr656UfDDHDErVSOYXfcxppzO1U0d6jtxj1lU5tSXXhxTzTQ', 'ENR_TRADINGCURRENCY': 'KEK', 'ENR_CURRENCYCOEFFICIENT': '467432495', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '1446895257', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'359830187':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1618233978100863137', 'ENR_INSTRUMENTGROUPCODE': 'h7', 'ENR_OFFICIALSEGMENT': 'j5QNVf1N05pK7Q0dDjBWBA1YvY2W7AZBghl89NmCrKVlSv5vETss1nR8xUz0B1URF9w4tI', 'ENR_TRADINGCURRENCY': 'odS', 'ENR_CURRENCYCOEFFICIENT': '3188566063', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '432093612', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'782873053':'HDR_MIC': 'MIVX', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '6626312878980010912', 'ENR_INSTRUMENTGROUPCODE': 'A7', 'ENR_OFFICIALSEGMENT': 'XpJ7cVaRyMP30xrLVjb2DWNh9ZaSjgvjw5YoFvjZvV64vsdrARuyXeNZBwa6YHzBH1Vevb', 'ENR_TRADINGCURRENCY': '95U', 'ENR_CURRENCYCOEFFICIENT': '313942368', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3542517590', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'784339346':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '10783652485391872695', 'ENR_INSTRUMENTGROUPCODE': '6y', 'ENR_OFFICIALSEGMENT': 'AAzXD4bujik7RE99bS2xHAGROZnWeF3DgN61ad6wM2o9OPjfdobKJViKHsu7QUbOBey97W', 'ENR_TRADINGCURRENCY': 'BoL', 'ENR_CURRENCYCOEFFICIENT': '3764808320', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3273946360', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'955146857':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4500241957006454205', 'ENR_INSTRUMENTGROUPCODE': '7J', 'ENR_OFFICIALSEGMENT': 'YRQzng57gf62Y7Zd7MRGcznzjYHzPPCqcfuCWczYvE2ZrVKKUsAJDflUaacJYbsVYpatIm', 'ENR_TRADINGCURRENCY': 'Rlx', 'ENR_CURRENCYCOEFFICIENT': '417793756', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '938879602', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'198284442':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '8266442834919254042', 'ENR_INSTRUMENTGROUPCODE': 'yr', 'ENR_OFFICIALSEGMENT': '5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT', 'ENR_TRADINGCURRENCY': 'Ned', 'ENR_CURRENCYCOEFFICIENT': '2104623119', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2932992915', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'14113038':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '12115424642110324892', 'ENR_INSTRUMENTGROUPCODE': 'Q6', 'ENR_OFFICIALSEGMENT': 'Gc2KB0MzOKEGwQ3rpYiXONXtvBBOyqClkLjQN0K30vyUJND6014LOGrZCL0PqfrwEphTdS', 'ENR_TRADINGCURRENCY': '0Zv', 'ENR_CURRENCYCOEFFICIENT': '1972153778', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '1845816919', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'190979236':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '1399964743776718599', 'ENR_INSTRUMENTGROUPCODE': 'RD', 'ENR_OFFICIALSEGMENT': 'qi7yUi5Xz0HFUmDj3PZk6kJTLc2Hjjh9U8Yqn8cWUwSiZdr11MCxAhLlfdaFObjpxhdMyZ', 'ENR_TRADINGCURRENCY': 'hx1', 'ENR_CURRENCYCOEFFICIENT': '933337045', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '2129756308', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'162618251':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '4640402740626867509', 'ENR_INSTRUMENTGROUPCODE': 'ip', 'ENR_OFFICIALSEGMENT': 'TO96hkuUkDICr2jjAYWIfrWOXmdSiGesV7DAK8LapQei2GowH06EGxbUpgzAmJ6n1NREUD', 'ENR_TRADINGCURRENCY': 'Cei', 'ENR_CURRENCYCOEFFICIENT': '1113971318', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '339277556', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'773471534':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '9801344369318373676', 'ENR_INSTRUMENTGROUPCODE': '6g', 'ENR_OFFICIALSEGMENT': 'NRognJTtB0ihEBXWX7bDcmys9vo7S3b3x9E7WtgBRCzN2nxmMKnOXWxYeMIKBgP35f0LEL', 'ENR_TRADINGCURRENCY': '6fk', 'ENR_CURRENCYCOEFFICIENT': '1466185011', 'ENR_TRADINGCURRENCYINDICATOR': '0', 'ENR_POOLFACTOR': '2234508486', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
'786357755':'HDR_MIC': 'MTAA', 'ENR_ISIN': 'DSS_CDW_test', 'ENR_PRICEDECIMALS': '7', 'ENR_AMOUNTDECIMALS': '7', 'ENR_QUANTITYDECIMALS': '7', 'ENR_INSTRUMENTID': '44956015518759300', 'ENR_INSTRUMENTGROUPCODE': 'pU', 'ENR_OFFICIALSEGMENT': 'Xnia6wK8dJH66zsgcL0jaORXJM0YfKcacdS9mBlrKtiUSMZsQkyTdzcBTXsTQjhD36tmos', 'ENR_TRADINGCURRENCY': '7kk', 'ENR_CURRENCYCOEFFICIENT': '2113077151', 'ENR_TRADINGCURRENCYINDICATOR': '1', 'ENR_POOLFACTOR': '3084259250', 'ENR_INSTRUMENTDECIMALSRATIO': '7'
